Day,Class,"I
 09:00 - 10:00",Unnamed: 3,Unnamed: 4,"II
 10:05 - 11:05",Unnamed: 6,Unnamed: 7,11:05 - 11:25,"III
 11:25 - 12:25",Unnamed: 10,Unnamed: 11,"IV
 12:30 - 01:30",Unnamed: 13,Unnamed: 14,"V
 01:35 - 02:35",Unnamed: 16,Unnamed: 17,"VI
 02:40 - 03:40",Unnamed: 19,Unnamed: 20,"VII
 03.40 - 04.40",Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,CLASS,SUBJECT,FACULTY,VENUE,LECTURE,FACULTY,VENUE,,SUBJECT,FACULTY,VENUE,SUBJECT,FACULTY,VENUE,SUBJECT,FACULTY,VENUE,SUBJECT,FACULTY,VENUE,SUBJECT,FACULTY,VENUE,,,,FACULTY CODE,FACULTY NAME
MONDAY,BCA-1A,BMPD,PRT,ET-505,,,,TEA BREAK,EVS,SONIA,ET-503,Lunch Break,,,C++,AKG,ET-102,MATHS,RPK,ET-302,,,,,,,AKG,Ms. Ankita Gupta
,BCA-1B,CSA lab,APK,MTCL-2,CSA LAB,APK,MTCL-2,,CSA,APK,ET-302,Lunch Break,,,MATHS LAB,DMK,ETCC-206,,,,,,,,,,ALM,Ms. Arti Lakhanpal Malhotra
,BCA-1C,C++,HMK,ET-402,CSA,KMK,ET-402,,CSA LAB,KMK,MTCL-3,CSA LAB,KMK,MTCL-3,Lunch Break,,,,,,,,,,,,ANK,Ms. Anika Bhandari
,BCA-1D,MATHS,DMK,ET-502,,,,,CSA,SJK,ET-401,Lunch Break,,,C++ LAB,SMB,MTCL-2,C++ LAB,SMB,MTCL-2,,,,,,,APK,Ms. Amanpreet Kaur
,BCA-1E,C++ LAB,PRB,MTCL-3,C++ LAB,PRB,MTCL-3,,MATHS,HPK,ET-203,CSA,SJK,ET-201,Lunch Break,,,,,,,,,,,,CND,Ms. Chandni
,BCA-1F,C++,SNL,ET-503,C++,SNL,ET-503,,MATHS,GSC,ET-502,EVS,DIKSHA,ET-203,Lunch Break,,,,,,,,,,,,DMK,Ms. Damanpreet Kaur
,BCA-2A,OS LAB,NRN,PHCL,OS LAB,NRN,PHCL,,SE,PRS,ET-402,Lunch Break,,,SE LAB,PRS,ETCC-407,SE LAB,PRS,ETCC-407,OS,NRN,ET-101,,,,FZB,Dr. Faizyab Ahmed
,BCA-2B,OS,PRJ,ET-501,SE,GVA,ET-501,,SE LAB,GVA,MTCL-2,SE LAB,GVA,MTCL-2,Lunch Break,,,WD LAB,ANK,HMCL,WD LAB,ANK,HMCL,,,,GSC,Mr. Gagandeep Singh Cheema
,BCA-2C,DBMS LAB,AKG,HMCL,DBMS LAB,AKG,HMCL,,DBMS,AKG,ET-501,Lunch Break,,,WD LAB,PNT,HMCL,SE,GVA,ET-103,WD,PNT,ET-103,,,,GVA,Mr. Gourav Arora
